School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
Fort Meade Middle/Senior High School,https://www.schooldigger.com/go/FL/schools/0159001743/school.aspx,Polk,https://www.schooldigger.com/go/FL/district/01590/search.aspx,700 Edgewood Dr N,Fort Meade,https://www.schooldigger.com/go/FL/city/Fort+Meade/search.aspx,33841,Polk County,(863) 285-1180,6,12,Yes,No,No,No,771,45,17.1,75.00%,13.90%,0.00%,0.40%,52.00%,0.10%,2.10%,31.50%,54.1
South Technical Academy,https://www.schooldigger.com/go/FL/schools/0150002234/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,6161 W. Woolbright Road,Boynton Beach,https://www.schooldigger.com/go/FL/city/Boynton+Beach/search.aspx,33437,Palm Beach County,(561) 369-7000,9,12,No,Yes,No,No,1094,53.6,20.4,61.50%,42.90%,0.40%,1.50%,42.50%,0.20%,1.80%,10.80%,53.8
Franklin Academy Pembroke Pines High School,https://www.schooldigger.com/go/FL/schools/0018008456/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,5000 SW 207th Terrace,Pembroke Pines,https://www.schooldigger.com/go/FL/city/Pembroke+Pines/search.aspx,33332,Broward County,(954) 315-0770,6,12,No,Yes,No,No,1188,66,18,5.00%,20.60%,0.50%,3.40%,62.70%,0.30%,0.80%,11.70%,53.8
Baker School,https://www.schooldigger.com/go/FL/schools/0138001321/school.aspx,Okaloosa,https://www.schooldigger.com/go/FL/district/01380/search.aspx,1369 14th St,Baker,https://www.schooldigger.com/go/FL/city/Baker/search.aspx,32531,Okaloosa County,(850) 689-7279,PK,12,Yes,No,No,No,1461,77,18.9,54.30%,2.10%,0.40%,0.30%,2.80%,0.00%,4.70%,89.70%,53.8
Newberry High School,https://www.schooldigger.com/go/FL/schools/0003000019/school.aspx,Alachua,https://www.schooldigger.com/go/FL/district/00030/search.aspx,400 SW 258th St,Newberry,https://www.schooldigger.com/go/FL/city/Newberry/search.aspx,32669,Alachua County,(352) 472-1101,9,12,No,No,Yes,No,750,28.2,26.5,49.50%,26.90%,0.30%,0.90%,12.70%,0.00%,7.70%,51.50%,53.4
Liberty County High School,https://www.schooldigger.com/go/FL/schools/0117001205/school.aspx,Liberty,https://www.schooldigger.com/go/FL/district/01170/search.aspx,12852 NW Cr 12,Bristol,https://www.schooldigger.com/go/FL/city/Bristol/search.aspx,32321,Liberty County,(850) 643-2241,9,12,Yes,No,No,No,354,20.5,17.2,34.20%,6.50%,0.00%,0.30%,11.60%,0.00%,2.50%,79.10%,53.4
Dropout Prevention School,https://www.schooldigger.com/go/FL/schools/0156002889/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,301 4th St SW,Largo,https://www.schooldigger.com/go/FL/city/Largo/search.aspx,33770,Pinellas County,(727) 588-6069,PK,12,No,No,No,No,517,0,,39.30%,36.80%,0.20%,2.10%,18.60%,0.20%,4.10%,38.10%,53.3
Merritt Island High School,https://www.schooldigger.com/go/FL/schools/0015000118/school.aspx,Brevard,https://www.schooldigger.com/go/FL/district/00150/search.aspx,100 Mustang Way,Merritt Island,https://www.schooldigger.com/go/FL/city/Merritt+Island/search.aspx,32953,Brevard County,(321) 454-1000,9,12,No,No,No,No,1483,72.5,20.4,36.70%,5.00%,0.10%,2.20%,13.60%,0.80%,7.90%,70.50%,53.1
William R Boone High,https://www.schooldigger.com/go/FL/schools/0144001363/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,1000 E Kaley St,Orlando,https://www.schooldigger.com/go/FL/city/Orlando/search.aspx,32806,Orange County,(407) 893-7200,9,12,No,No,Yes,No,2769,127,21.8,35.60%,10.10%,0.20%,2.20%,43.00%,0.40%,3.40%,40.60%,53
Lake Brantley High School,https://www.schooldigger.com/go/FL/schools/0171001888/school.aspx,Seminole,https://www.schooldigger.com/go/FL/district/01710/search.aspx,991 Sand Lake Rd,Altamonte Springs,https://www.schooldigger.com/go/FL/city/Altamonte+Springs/search.aspx,32714,Seminole County,(407) 746-3450,9,12,No,No,No,No,2815,121.3,23.2,46.70%,12.00%,0.10%,3.20%,33.70%,0.20%,4.40%,46.40%,52.9
Winter Springs High School,https://www.schooldigger.com/go/FL/schools/0171003270/school.aspx,Seminole,https://www.schooldigger.com/go/FL/district/01710/search.aspx,130 Tuskawilla Rd,Winter Springs,https://www.schooldigger.com/go/FL/city/Winter+Springs/search.aspx,32708,Seminole County,(407) 320-8750,9,12,No,No,Yes,No,2005,102.5,19.5,48.50%,9.90%,0.30%,5.30%,33.40%,0.20%,3.90%,47.00%,52.6
Polk Full Time Eschool,https://www.schooldigger.com/go/FL/schools/0159008317/school.aspx,Polk,https://www.schooldigger.com/go/FL/district/01590/search.aspx,604 S. Central Ave,Lakeland,https://www.schooldigger.com/go/FL/city/Lakeland/search.aspx,33815,Polk County,(863) 354-3999,KG,12,No,No,No,Yes,455,0,,,15.20%,0.20%,1.10%,36.50%,0.00%,3.30%,43.70%,52.5
Coral Gables Senior High School,https://www.schooldigger.com/go/FL/schools/0039000590/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,450 Bird Rd,Coral Gables,https://www.schooldigger.com/go/FL/city/Coral+Gables/search.aspx,33146,Miami-Dade County,(305) 443-4871,9,12,No,No,Yes,No,2884,120,24,47.40%,4.40%,0.00%,0.70%,84.50%,0.00%,0.70%,9.70%,52.5
Vero Beach High School,https://www.schooldigger.com/go/FL/schools/0093001052/school.aspx,Indian River,https://www.schooldigger.com/go/FL/district/00930/search.aspx,1707 16th St,Vero Beach,https://www.schooldigger.com/go/FL/city/Vero+Beach/search.aspx,32960,Indian River County,(772) 564-5800,9,12,No,No,No,No,2783,121.8,22.8,48.00%,22.60%,0.00%,1.60%,22.90%,0.10%,5.20%,47.60%,52.4
Youth County-Op Preparatory High School,https://www.schooldigger.com/go/FL/schools/0039008125/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,7700 W 20th Ave,Hialeah,https://www.schooldigger.com/go/FL/city/Hialeah/search.aspx,33016,Miami-Dade County,(305) 819-8855,9,12,Yes,Yes,No,No,249,12,20.7,70.70%,0.80%,0.00%,0.40%,98.40%,0.00%,0.00%,0.40%,52.1
Union County High School,https://www.schooldigger.com/go/FL/schools/0189001956/school.aspx,Union,https://www.schooldigger.com/go/FL/district/01890/search.aspx,1000 S Lake Ave,Lake Butler,https://www.schooldigger.com/go/FL/city/Lake+Butler/search.aspx,32054,Union County,(352) 448-5204,9,12,No,No,No,No,615,42.1,14.5,42.80%,14.10%,0.50%,0.00%,4.40%,0.00%,3.90%,77.10%,52.1
Lincoln-Marti Charter School (Hialeah Campus),https://www.schooldigger.com/go/FL/schools/0039007517/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,3500 W 84th St,Hialeah,https://www.schooldigger.com/go/FL/city/Hialeah/search.aspx,33018,Miami-Dade County,(305) 827-8080,KG,12,Yes,Yes,No,No,180,15,12,63.30%,1.70%,0.00%,0.00%,97.20%,0.00%,0.60%,0.60%,52
Richard O Jacobson Technical High School At Seminole,https://www.schooldigger.com/go/FL/schools/0156001664/school.aspx,Pinellas,https://www.schooldigger.com/go/FL/district/01560/search.aspx,12611 86th Ave,Seminole,https://www.schooldigger.com/go/FL/city/Seminole/search.aspx,33776,Pinellas County,(727) 545-6405,9,12,No,No,Yes,No,553,27,20.4,41.20%,9.20%,0.40%,1.60%,16.80%,0.20%,3.40%,68.40%,52
Avant Garde Academy Of Broward,https://www.schooldigger.com/go/FL/schools/0018008361/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,2025 McKinley St,Hollywood,https://www.schooldigger.com/go/FL/city/Hollywood/search.aspx,33020,Broward County,(754) 816-6153,6,12,Yes,Yes,No,No,1107,53,20.8,43.30%,15.30%,0.10%,1.50%,60.30%,0.00%,1.80%,21.00%,51.9
Fort Myers High School,https://www.schooldigger.com/go/FL/schools/0108001133/school.aspx,Lee,https://www.schooldigger.com/go/FL/district/01080/search.aspx,2635 Cortez Blvd,Fort Myers,https://www.schooldigger.com/go/FL/city/Fort+Myers/search.aspx,33901,Lee County,(239) 334-2167,9,12,No,No,Yes,No,1850,74.3,24.8,35.20%,21.40%,0.40%,5.50%,26.00%,0.10%,3.40%,43.20%,51.9
Jensen Beach High School,https://www.schooldigger.com/go/FL/schools/0129004042/school.aspx,Martin,https://www.schooldigger.com/go/FL/district/01290/search.aspx,2875 NW Goldenrod Rd,Jensen Beach,https://www.schooldigger.com/go/FL/city/Jensen+Beach/search.aspx,34957,Martin County,(772) 232-3500,9,12,No,No,No,No,1657,77.5,21.3,37.80%,6.70%,0.10%,2.00%,26.30%,0.10%,4.40%,60.50%,51.7
East Ridge High School,https://www.schooldigger.com/go/FL/schools/0105003868/school.aspx,Lake,https://www.schooldigger.com/go/FL/district/01050/search.aspx,13322 Excalibur Rd,Clermont,https://www.schooldigger.com/go/FL/city/Clermont/search.aspx,34711,Lake County,(352) 242-2080,9,12,No,No,No,No,2757,121,22.7,27.00%,16.00%,0.80%,4.10%,38.30%,0.20%,4.20%,36.20%,51.7
Lemon Bay High School,https://www.schooldigger.com/go/FL/schools/0024000298/school.aspx,Charlotte,https://www.schooldigger.com/go/FL/district/00240/search.aspx,2201 Placida Rd,Englewood,https://www.schooldigger.com/go/FL/city/Englewood/search.aspx,34224,Charlotte County,(941) 629-4552,9,12,No,No,No,No,1346,64,21,37.10%,1.70%,0.20%,1.90%,12.60%,0.10%,3.50%,79.90%,51.7
Palm Beach Central High School,https://www.schooldigger.com/go/FL/schools/0150004121/school.aspx,Palm Beach,https://www.schooldigger.com/go/FL/district/01500/search.aspx,8499 Forest Hill Blvd,Wellington,https://www.schooldigger.com/go/FL/city/Wellington/search.aspx,33411,Palm Beach County,(561) 304-1000,9,12,Yes,No,Yes,No,2841,150,18.9,39.10%,24.00%,0.40%,4.40%,40.40%,0.20%,3.20%,27.40%,51.7
Charles W Flanagan High School,https://www.schooldigger.com/go/FL/schools/0018003029/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,12800 Taft St,Pembroke Pines,https://www.schooldigger.com/go/FL/city/Pembroke+Pines/search.aspx,33028,Broward County,(754) 323-0650,9,12,No,No,No,No,2330,102.7,22.6,36.20%,38.70%,0.20%,3.00%,46.70%,0.30%,2.20%,8.80%,51.6
University High School,https://www.schooldigger.com/go/FL/schools/0192007281/school.aspx,Volusia,https://www.schooldigger.com/go/FL/district/01920/search.aspx,1000 W Rhode Island Ave,Orange City,https://www.schooldigger.com/go/FL/city/Orange+City/search.aspx,32763,Volusia County,(386) 775-5274,9,12,No,No,No,No,2837,131,21.6,51.10%,11.40%,0.00%,2.00%,35.40%,0.30%,3.30%,47.60%,51.4
Braden River High School,https://www.schooldigger.com/go/FL/schools/0123005608/school.aspx,Manatee,https://www.schooldigger.com/go/FL/district/01230/search.aspx,6545 Sr 70 E,Bradenton,https://www.schooldigger.com/go/FL/city/Bradenton/search.aspx,34203,Manatee County,(941) 751-8230,9,12,No,No,No,No,1801,78,23,48.40%,8.10%,0.10%,5.70%,32.60%,0.10%,4.20%,49.10%,51.4
Micanopy Academy,https://www.schooldigger.com/go/FL/schools/0003003811/school.aspx,Alachua,https://www.schooldigger.com/go/FL/district/00030/search.aspx,708 NW Okehumkee,Micanopy,https://www.schooldigger.com/go/FL/city/Micanopy/search.aspx,32667,Alachua County,(352) 466-1090,6,12,No,Yes,No,No,111,4,27.7,54.10%,7.20%,0.00%,5.40%,7.20%,0.00%,8.10%,72.10%,51.3
Destin High School,https://www.schooldigger.com/go/FL/schools/0138008938/school.aspx,Okaloosa,https://www.schooldigger.com/go/FL/district/01380/search.aspx,4325 Commons Drive,Destin,https://www.schooldigger.com/go/FL/city/Destin/search.aspx,32541,Okaloosa County,(850) 424-1664,9,12,No,Yes,No,No,557,26,21.4,18.00%,6.50%,0.70%,2.20%,10.40%,0.20%,3.60%,76.50%,51.2
River Ridge High School,https://www.schooldigger.com/go/FL/schools/0153002882/school.aspx,Pasco,https://www.schooldigger.com/go/FL/district/01530/search.aspx,11646 Town Center Rd,New Port Richey,https://www.schooldigger.com/go/FL/city/New+Port+Richey/search.aspx,34654,Pasco County,(727) 774-7200,9,12,No,No,No,No,1814,81.4,22.2,33.60%,3.80%,0.20%,3.30%,16.60%,0.10%,4.70%,71.20%,51.2
Fort Walton Beach High School,https://www.schooldigger.com/go/FL/schools/0138001351/school.aspx,Okaloosa,https://www.schooldigger.com/go/FL/district/01380/search.aspx,400 Hollywood Blvd SW,Fort Walton Beach,https://www.schooldigger.com/go/FL/city/Fort+Walton+Beach/search.aspx,32548,Okaloosa County,(850) 833-3300,9,12,No,No,No,No,1558,75.6,20.6,39.50%,13.70%,0.30%,3.00%,19.40%,0.80%,9.40%,53.50%,51.1
Sports Leadership Arts Management Charter High School,https://www.schooldigger.com/go/FL/schools/0039007845/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,604 NW 12 Ave,Miami,https://www.schooldigger.com/go/FL/city/Miami/search.aspx,33136,Miami-Dade County,(305) 326-0003,9,12,Yes,Yes,No,No,999,1,999,92.50%,5.50%,0.30%,0.10%,92.00%,0.00%,0.10%,2.00%,51.1
Cypress Creek High School,https://www.schooldigger.com/go/FL/schools/0153008517/school.aspx,Pasco,https://www.schooldigger.com/go/FL/district/01530/search.aspx,8701 Old Pasco Rd,Wesley Chapel,https://www.schooldigger.com/go/FL/city/Wesley+Chapel/search.aspx,33544,Pasco County,(813) 346-4400,9,12,No,No,No,No,1910,85.8,22.2,26.30%,9.40%,0.30%,3.50%,32.70%,0.20%,4.60%,49.30%,51
Riverview High School,https://www.schooldigger.com/go/FL/schools/0087003379/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,11311 Boyette Rd,Riverview,https://www.schooldigger.com/go/FL/city/Riverview/search.aspx,33569,Hillsborough County,(813) 671-5011,9,12,No,No,No,No,2496,112,22.2,36.30%,19.60%,0.20%,2.70%,34.10%,0.40%,6.40%,36.60%,51
Naples High School,https://www.schooldigger.com/go/FL/schools/0033000343/school.aspx,Collier,https://www.schooldigger.com/go/FL/district/00330/search.aspx,1100 Golden Eagle Cir,Naples,https://www.schooldigger.com/go/FL/city/Naples/search.aspx,34102,Collier County,(239) 377-2200,9,12,No,No,No,No,1629,75.4,21.6,35.10%,10.50%,0.10%,1.50%,47.90%,0.00%,2.60%,37.40%,51
Palmetto Ridge High School,https://www.schooldigger.com/go/FL/schools/0033003960/school.aspx,Collier,https://www.schooldigger.com/go/FL/district/00330/search.aspx,1655 Victory Ln,Naples,https://www.schooldigger.com/go/FL/city/Naples/search.aspx,34120,Collier County,(239) 377-2400,9,12,No,No,No,No,2035,81.6,24.9,37.70%,9.90%,0.20%,1.30%,59.50%,0.10%,1.90%,27.10%,50.9
Martin County High School,https://www.schooldigger.com/go/FL/schools/0129001282/school.aspx,Martin,https://www.schooldigger.com/go/FL/district/01290/search.aspx,2801 S Kanner Hwy,Stuart,https://www.schooldigger.com/go/FL/city/Stuart/search.aspx,34994,Martin County,(772) 219-1800,9,12,No,No,No,No,2122,96.5,21.9,41.50%,5.60%,0.10%,2.00%,32.30%,0.10%,3.40%,56.50%,50.6
James Madison Preparatory High School,https://www.schooldigger.com/go/FL/schools/0120008247/school.aspx,Madison,https://www.schooldigger.com/go/FL/district/01200/search.aspx,2812 W Us 90,Madison,https://www.schooldigger.com/go/FL/city/Madison/search.aspx,32340,Madison County,(850) 253-2173,9,12,No,Yes,No,No,196,12,16.3,,23.50%,0.00%,1.00%,9.70%,0.00%,5.10%,60.70%,50.4
New Smyrna Beach High School,https://www.schooldigger.com/go/FL/schools/0192001990/school.aspx,Volusia,https://www.schooldigger.com/go/FL/district/01920/search.aspx,1015 10th St,New Smyrna Beach,https://www.schooldigger.com/go/FL/city/New+Smyrna+Beach/search.aspx,32168,Volusia County,(386) 423-7101,9,12,No,No,No,No,1738,82,21.1,43.20%,6.60%,0.20%,1.00%,6.30%,0.10%,4.40%,81.50%,50.3
Sandalwood High School,https://www.schooldigger.com/go/FL/schools/0048000759/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,2750 John Prom Blvd,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32246,Duval County,(904) 646-5100,9,12,Yes,No,No,No,2726,112,24.3,40.20%,25.90%,0.30%,7.70%,23.70%,0.40%,7.20%,34.80%,50.2
University High,https://www.schooldigger.com/go/FL/schools/0144002779/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,2450 Cougar Way,Orlando,https://www.schooldigger.com/go/FL/city/Orlando/search.aspx,32817,Orange County,(407) 482-8700,9,12,No,No,Yes,No,2561,108,23.7,44.90%,12.10%,0.10%,8.60%,58.80%,0.20%,1.80%,18.30%,50.1
Charter High School Of The Americas (Florida City Campus),https://www.schooldigger.com/go/FL/schools/0039008703/school.aspx,Miami-Dade,https://www.schooldigger.com/go/FL/district/00390/search.aspx,103 East Lucy St,Florida City,https://www.schooldigger.com/go/FL/city/Florida+City/search.aspx,33034,Miami-Dade County,(305) 242-3330,9,12,Yes,Yes,No,No,35,1,35,97.10%,5.70%,0.00%,0.00%,91.40%,0.00%,0.00%,2.90%,50
Olympia High,https://www.schooldigger.com/go/FL/schools/0144003746/school.aspx,Orange,https://www.schooldigger.com/go/FL/district/01440/search.aspx,4301 S Apopka Vineland Rd,Orlando,https://www.schooldigger.com/go/FL/city/Orlando/search.aspx,32835,Orange County,(407) 905-6400,8,12,No,No,No,No,2952,120,24.6,33.40%,27.10%,0.50%,6.80%,37.40%,0.80%,2.50%,25.00%,49.9
Somerset Academy Charter High School Miramar Campus,https://www.schooldigger.com/go/FL/schools/0018007921/school.aspx,Broward,https://www.schooldigger.com/go/FL/district/00180/search.aspx,9300 Pembroke Rd,Miramar,https://www.schooldigger.com/go/FL/city/Miramar/search.aspx,33025,Broward County,(954) 435-1570,9,12,No,Yes,No,No,291,3,97,62.20%,75.30%,0.70%,1.00%,19.20%,0.30%,0.70%,2.70%,49.8
Sebastian River High School,https://www.schooldigger.com/go/FL/schools/0093002283/school.aspx,Indian River,https://www.schooldigger.com/go/FL/district/00930/search.aspx,9001 90th Ave,Sebastian,https://www.schooldigger.com/go/FL/city/Sebastian/search.aspx,32958,Indian River County,(772) 564-4170,9,12,No,No,No,No,1791,79,22.6,49.70%,14.00%,0.10%,1.20%,33.80%,0.00%,3.40%,47.60%,49.8
Gaither High School,https://www.schooldigger.com/go/FL/schools/0087002437/school.aspx,Hillsborough,https://www.schooldigger.com/go/FL/district/00870/search.aspx,16200 N Dale Mabry Hwy,Tampa,https://www.schooldigger.com/go/FL/city/Tampa/search.aspx,33618,Hillsborough County,(813) 975-7340,9,12,No,No,No,No,2078,97.5,21.3,41.20%,8.60%,0.10%,3.00%,48.10%,0.00%,4.70%,35.60%,49.8
Forest High School,https://www.schooldigger.com/go/FL/schools/0126001271/school.aspx,Marion,https://www.schooldigger.com/go/FL/district/01260/search.aspx,5000 SE Maricamp Rd,Ocala,https://www.schooldigger.com/go/FL/city/Ocala/search.aspx,34480,Marion County,(352) 671-4700,9,12,No,No,Yes,No,2383,101,23.5,41.50%,16.10%,0.30%,2.00%,21.20%,0.30%,4.70%,55.30%,49.7
Marianna High School,https://www.schooldigger.com/go/FL/schools/0096001065/school.aspx,Jackson,https://www.schooldigger.com/go/FL/district/00960/search.aspx,3546 Caverns Rd,Marianna,https://www.schooldigger.com/go/FL/city/Marianna/search.aspx,32446,Jackson County,(850) 482-9605,9,12,Yes,No,No,No,670,37,18.1,41.90%,34.50%,0.60%,0.90%,5.80%,0.10%,7.20%,50.90%,49.7
Poplar Springs High School,https://www.schooldigger.com/go/FL/schools/0090001046/school.aspx,Holmes,https://www.schooldigger.com/go/FL/district/00900/search.aspx,3726 Atomic Dr,Graceville,https://www.schooldigger.com/go/FL/city/Graceville/search.aspx,32440,Jackson County,(850) 263-6260,PK,12,Yes,No,No,No,452,27.5,16.4,52.70%,4.20%,0.00%,0.40%,6.20%,0.00%,7.10%,82.10%,49.6
Duval Charter High School At Baymeadows,https://www.schooldigger.com/go/FL/schools/0048008016/school.aspx,Duval,https://www.schooldigger.com/go/FL/district/00480/search.aspx,7510 Baymeadows Way,Jacksonville,https://www.schooldigger.com/go/FL/city/Jacksonville/search.aspx,32256,Duval County,(904) 638-7947,9,12,No,Yes,No,No,667,0,,45.40%,19.50%,1.00%,4.30%,30.70%,0.10%,5.20%,39.00%,49.5
Sarasota High School,https://www.schooldigger.com/go/FL/schools/0168001838/school.aspx,Sarasota,https://www.schooldigger.com/go/FL/district/01680/search.aspx,2155 Bahia Vista St,Sarasota,https://www.schooldigger.com/go/FL/city/Sarasota/search.aspx,34239,Sarasota County,(941) 955-0181,9,12,No,No,No,No,2509,124,20.2,42.70%,6.10%,0.10%,1.80%,31.30%,0.10%,5.10%,55.50%,49.2
J.R. Arnold High School,https://www.schooldigger.com/go/FL/schools/0009004305/school.aspx,Bay,https://www.schooldigger.com/go/FL/district/00090/search.aspx,550 N Alf Coleman Rd,Panama City Beach,https://www.schooldigger.com/go/FL/city/Panama+City+Beach/search.aspx,32407,Bay County,(850) 767-3700,9,12,No,No,No,No,1637,71.2,22.9,35.60%,9.50%,0.30%,2.70%,14.30%,0.20%,5.90%,67.10%,49.2
Milton High School,https://www.schooldigger.com/go/FL/schools/0165001826/school.aspx,Santa Rosa,https://www.schooldigger.com/go/FL/district/01650/search.aspx,5445 Stewart St,Milton,https://www.schooldigger.com/go/FL/city/Milton/search.aspx,32570,Santa Rosa County,(850) 983-5600,9,12,No,No,No,No,2027,88,23,55.10%,9.10%,0.30%,1.30%,7.20%,0.70%,9.40%,72.00%,49.2
