 Number of team members, Deadline in Days, Task complexity, Project type, Skill level, Communication frequency, Number of tasks, Team motivation, Number of stakeholders, Number of meetings, Decision making, Team experience in years, Number of changes, Project duration  in days, Project complexity,Project Completion Time
8,52, Low, Web development, Expert, Daily,10, High,3,2, Fast,9,1,38, Low,66
13,56, Medium, Mobile app, Advanced, Weekly,11, Medium,4,0, Slow,7,3,32, Medium,45
8,72, Medium, Mobile app, Beginner, Weekly,9, Low,4,2, Moderate,6,0,34, Medium,38
9,34, High, Desktop app, Expert, Daily,6, High,5,2, Fast,9,1,49, High,64
14,60, Low, Web development, Advanced, Weekly,5, Medium,3,1, Slow,7,2,43, Low,35
8,43, Medium, Desktop app, Beginner, Daily,14, Low,4,2, Moderate,8,1,60, Medium,58
11,50, High, Web development, Expert, Weekly,10, High,4,0, Fast,7,1,57, High,71
6,53, Medium, Desktop app, Beginner, Weekly,9, Low,5,0, Moderate,6,3,53, Medium,66
14,56, High, Mobile app, Advanced, Daily,6, Medium,3,1, Slow,10,2,51, High,60
13,77, Low, Web development, Expert, Weekly,7, High,4,0, Fast,7,1,30, Low,63
8,77, Medium, Desktop app, Beginner, Daily,8, Low,5,1, Moderate,6,3,44, Medium,51
4,57, Low, Mobile app, Expert, Weekly,13, High,4,2, Fast,6,3,43, Low,54
8,59, High, Web development, Advanced, Daily,6, Medium,4,2, Slow,9,0,40, High,63
8,75, Medium, Mobile app, Beginner, Weekly,14, Low,5,2, Moderate,6,3,42, Medium,65
7,39, High, Desktop app, Expert, Daily,12, High,5,1, Fast,9,1,55, High,37
5,60, Low, Web development, Advanced, Weekly,9, Medium,4,1, Slow,8,1,39, Low,73
6,42, Medium, Desktop app, Beginner, Daily,8, Low,3,0, Moderate,10,2,53, Medium,54
7,61, High, Web development, Expert, Weekly,6, High,5,2, Fast,5,1,53, High,66
9,56, Low, Web development, Expert, Daily,14, High,3,0, Fast,5,1,54, Low,57
8,50, High, Mobile app, Advanced, Weekly,14, Medium,3,2, Slow,10,0,40, High,44
13,62, Medium, Desktop app, Beginner, Daily,9, Low,2,1, Moderate,9,0,47, Medium,70
5,53, High, Web development, Expert, Weekly,6, High,4,1, Fast,8,0,41, High,34
7,49, Low, Mobile app, Advanced, Daily,5, Medium,4,2, Slow,9,0,56, Low,46
12,54, High, Desktop app, Beginner, Weekly,5, Low,5,0, Moderate,9,2,39, High,51
12,30, Low, Web development, Expert, Daily,11, High,5,1, Fast,6,0,60, Low,72
8,33, Medium, Mobile app, Advanced, Weekly,10, Medium,2,1, Slow,6,2,49, Medium,66
11,77, High, Desktop app, Beginner, Weekly,14, Low,4,1, Moderate,6,2,40, High,53
11,44, Low, Web development, Expert, Daily,10, High,3,1, Fast,9,1,39, Low,63
9,56, Medium, Mobile app, Advanced, Weekly,10, Medium,3,1, Slow,8,2,34, Medium,46
6,73, Low, Web development, Expert, Daily,13, High,5,0, Fast,7,1,52, Low,72
4,39, Medium, Desktop app, Beginner, Weekly,6, Low,5,2, Moderate,9,0,52, Medium,66
12,66, High, Mobile app, Advanced, Daily,7, Medium,3,2, Slow,6,2,50, High,69
14,42, Low, Web development, Expert, Weekly,12, High,2,2, Fast,7,2,48, Low,52
7,58, Medium, Desktop app, Beginner, Daily,6, Low,2,2, Moderate,7,1,31, Medium,32
9,38, Low, Mobile app, Expert, Weekly,8, High,4,1, Fast,10,3,30, Low,44
12,72, High, Web development, Advanced, Daily,9, Medium,2,2, Slow,7,1,35, High,67
5,34, Medium, Mobile app, Beginner, Weekly,12, Low,4,0, Moderate,7,0,43, Medium,35
10,66, High, Desktop app, Expert, Daily,6, High,3,1, Fast,5,2,33, High,64
4,59, Low, Web development, Advanced, Weekly,9, Medium,5,2, Slow,6,0,36, Low,71
4,69, Medium, Desktop app, Beginner, Daily,8, Low,3,0, Moderate,7,1,33, Medium,39
5,68, High, Web development, Expert, Weekly,11, High,5,2, Fast,9,1,56, High,36
11,47, Medium, Desktop app, Beginner, Weekly,8, Low,5,2, Moderate,7,2,58, Medium,33
10,38, High, Mobile app, Advanced, Daily,14, Medium,2,2, Slow,5,3,60, High,58
14,40, Low, Web development, Expert, Weekly,4, High,4,0, Fast,10,2,34, Low,40
9,50, Medium, Desktop app, Beginner, Daily,8, Low,3,2, Moderate,8,0,58, Medium,42
6,46, Low, Mobile app, Expert, Weekly,6, High,3,0, Fast,8,0,59, Low,73
10,72, High, Web development, Advanced, Daily,14, Medium,5,2, Slow,6,3,39, High,52
8,75, Medium, Mobile app, Beginner, Weekly,5, Low,2,1, Moderate,5,1,57, Medium,69
6,38, High, Desktop app, Expert, Daily,13, High,5,1, Fast,6,3,53, High,37
14,71, Low, Web development, Advanced, Weekly,7, Medium,3,2, Slow,10,3,59, Low,32
11,36, Medium, Desktop app, Beginner, Daily,13, Low,3,0, Moderate,9,0,48, Medium,43
7,42, High, Web development, Expert, Weekly,12, High,2,1, Fast,5,1,55, High,54
7,70, Low, Web development, Expert, Daily,5, High,4,0, Fast,10,2,41, Low,46
6,76, High, Mobile app, Advanced, Weekly,4, Medium,5,0, Slow,8,3,44, High,40
8,47, Medium, Desktop app, Beginner, Daily,6, Low,2,0, Moderate,7,0,50, Medium,65
9,58, High, Web development, Expert, Weekly,8, High,5,0, Fast,6,0,47, High,32
8,57, Low, Mobile app, Advanced, Daily,12, Medium,2,0, Slow,10,2,41, Low,61
7,53, High, Desktop app, Beginner, Weekly,7, Low,2,0, Moderate,8,2,57, High,54
9,75, Low, Web development, Expert, Daily,7, High,2,1, Fast,9,2,30, Low,46
9,75, Medium, Mobile app, Advanced, Weekly,10, Medium,2,2, Slow,10,3,31, Medium,39
8,35, Low, Web development, Expert, Daily,10, High,3,2, Fast,6,1,41, Low,69
7,70, High, Mobile app, Advanced, Weekly,14, Medium,2,0, Slow,10,0,52, High,53
14,62, Medium, Desktop app, Beginner, Daily,10, Low,3,1, Moderate,8,0,46, Medium,35
13,51, High, Web development, Expert, Weekly,11, High,3,2, Fast,9,2,57, High,40
11,65, Low, Mobile app, Advanced, Daily,13, Medium,5,0, Slow,5,1,47, Low,66
9,68, High, Desktop app, Beginner, Weekly,7, Low,3,1, Moderate,9,2,59, High,71
5,49, Low, Web development, Expert, Daily,7, High,5,1, Fast,9,3,51, Low,35
14,37, Medium, Mobile app, Advanced, Weekly,13, Medium,4,2, Slow,9,1,50, Medium,32
10,54, Low, Web development, Expert, Daily,13, High,5,0, Fast,10,2,42, Low,56
6,50, Medium, Desktop app, Beginner, Weekly,14, Low,2,1, Moderate,10,3,43, Medium,58
14,70, High, Mobile app, Advanced, Daily,6, Medium,2,2, Slow,5,1,47, High,50
14,59, Low, Web development, Expert, Weekly,5, High,2,0, Fast,9,1,59, Low,42
14,35, Medium, Desktop app, Beginner, Daily,4, Low,3,1, Moderate,6,1,46, Medium,34
12,64, Low, Mobile app, Expert, Weekly,6, High,5,1, Fast,9,1,50, Low,50
8,48, High, Web development, Advanced, Daily,6, Medium,3,0, Slow,5,2,30, High,71
13,68, Medium, Mobile app, Beginner, Weekly,8, Low,3,1, Moderate,9,0,44, Medium,58
8,62, High, Desktop app, Expert, Daily,4, High,4,1, Fast,7,3,36, High,44
12,65, Low, Web development, Advanced, Weekly,10, Medium,2,2, Slow,9,1,44, Low,73
14,32, Medium, Desktop app, Beginner, Daily,8, Low,2,2, Moderate,8,3,36, Medium,36
9,67, High, Web development, Expert, Weekly,12, High,4,2, Fast,9,2,57, High,58
8,77, Low, Web development, Expert, Daily,14, High,3,0, Fast,10,0,40, Low,48
13,48, High, Mobile app, Advanced, Weekly,10, Medium,4,0, Slow,8,1,46, High,36
13,59, Medium, Desktop app, Beginner, Daily,13, Low,4,0, Moderate,10,0,54, Medium,50
12,72, High, Web development, Expert, Weekly,4, High,3,1, Fast,9,2,54, High,41
9,59, Low, Mobile app, Advanced, Daily,11, Medium,4,1, Slow,7,1,38, Low,67
4,68, High, Desktop app, Beginner, Weekly,7, Low,5,2, Moderate,6,0,37, High,64
4,37, Low, Web development, Expert, Daily,13, High,3,1, Fast,6,0,36, Low,41
9,76, Medium, Mobile app, Advanced, Weekly,12, Medium,2,1, Slow,10,0,41, Medium,45
6,69, Low, Web development, Expert, Daily,5, High,3,1, Fast,5,3,51, Low,68
12,61, Medium, Desktop app, Beginner, Weekly,14, Low,5,0, Moderate,9,3,53, Medium,57
8,61, High, Mobile app, Advanced, Daily,4, Medium,5,1, Slow,10,1,44, High,73
4,68, Low, Web development, Expert, Weekly,6, High,2,1, Fast,9,2,60, Low,58
10,43, Medium, Desktop app, Beginner, Daily,7, Low,3,0, Moderate,6,0,53, Medium,52
14,63, Low, Mobile app, Expert, Weekly,7, High,4,0, Fast,9,2,49, Low,65
13,60, High, Web development, Advanced, Daily,10, Medium,4,0, Slow,10,2,47, High,54
4,39, Medium, Mobile app, Beginner, Weekly,4, Low,2,2, Moderate,6,1,54, Medium,57
12,65, High, Desktop app, Expert, Daily,9, High,3,0, Fast,7,1,53, High,39
11,41, Low, Web development, Advanced, Weekly,7, Medium,5,1, Slow,10,0,54, Low,46
10,55, Medium, Desktop app, Beginner, Daily,4, Low,4,2, Moderate,7,0,50, Medium,46
11,34, High, Web development, Expert, Weekly,10, High,5,1, Fast,8,1,52, High,44
6,69, Low, Web development, Expert, Daily,13, High,4,1, Fast,7,3,43, Low,55
10,59, High, Mobile app, Advanced, Weekly,14, Medium,2,0, Slow,10,1,40, High,33
10,52, Medium, Desktop app, Beginner, Daily,6, Low,5,0, Moderate,8,0,31, Medium,32
12,31, High, Web development, Expert, Weekly,5, High,5,0, Fast,8,2,38, High,64
12,55, Low, Mobile app, Advanced, Daily,10, Medium,3,0, Slow,8,0,52, Low,57
4,37, High, Desktop app, Beginner, Weekly,14, Low,4,0, Moderate,9,1,34, High,65
11,41, Low, Web development, Expert, Daily,6, High,2,2, Fast,6,2,60, Low,57
4,34, Medium, Mobile app, Advanced, Weekly,14, Medium,3,2, Slow,10,1,31, Medium,42
14,36, Low, Web development, Expert, Daily,10, High,3,2, Fast,8,3,54, Low,59
12,50, Medium, Desktop app, Beginner, Weekly,6, Low,4,1, Moderate,6,2,39, Medium,62
7,39, High, Mobile app, Advanced, Daily,7, Medium,4,1, Slow,10,2,34, High,59
14,35, Low, Web development, Expert, Weekly,8, High,2,1, Fast,5,2,39, Low,53
11,36, Medium, Desktop app, Beginner, Daily,11, Low,4,2, Moderate,9,2,55, Medium,69
8,59, Low, Mobile app, Expert, Weekly,14, High,3,0, Fast,8,2,53, Low,38
6,60, High, Web development, Advanced, Daily,14, Medium,5,0, Slow,6,1,37, High,61
11,65, Medium, Mobile app, Beginner, Weekly,6, Low,2,2, Moderate,5,0,38, Medium,67
9,58, High, Desktop app, Expert, Daily,12, High,3,2, Fast,7,2,34, High,45
8,79, Low, Web development, Advanced, Weekly,6, Medium,4,2, Slow,5,3,42, Low,48
6,71, Medium, Desktop app, Beginner, Daily,4, Low,5,0, Moderate,8,3,47, Medium,73
14,75, High, Web development, Expert, Weekly,9, High,5,0, Fast,10,0,56, High,71
12,33, Low, Web development, Expert, Daily,11, High,4,0, Fast,10,1,38, Low,35
8,64, High, Mobile app, Advanced, Weekly,14, Medium,3,2, Slow,8,0,53, High,34
9,57, Medium, Desktop app, Beginner, Daily,8, Low,5,0, Moderate,10,2,41, Medium,66
14,56, High, Web development, Expert, Weekly,14, High,5,2, Fast,8,0,55, High,44
13,34, Low, Mobile app, Advanced, Daily,12, Medium,5,0, Slow,6,1,46, Low,47
8,40, High, Desktop app, Beginner, Weekly,9, Low,4,2, Moderate,10,2,36, High,57
9,38, Low, Web development, Expert, Daily,13, High,4,1, Fast,9,3,34, Low,67
7,53, Medium, Mobile app, Advanced, Weekly,14, Medium,4,1, Slow,8,3,59, Medium,54
12,73, Low, Web development, Expert, Daily,12, High,5,0, Fast,10,3,54, Low,33
4,35, Medium, Desktop app, Beginner, Weekly,14, Low,3,0, Moderate,10,3,36, Medium,56
6,77, High, Mobile app, Advanced, Daily,7, Medium,2,0, Slow,5,3,34, High,52
6,39, Low, Web development, Expert, Weekly,8, High,3,0, Fast,8,2,46, Low,61
12,51, Medium, Desktop app, Beginner, Daily,6, Low,2,2, Moderate,10,3,55, Medium,59
12,53, Low, Mobile app, Expert, Weekly,6, High,2,0, Fast,10,1,35, Low,64
7,36, High, Web development, Advanced, Daily,12, Medium,2,2, Slow,10,0,46, High,37
11,63, Medium, Mobile app, Beginner, Weekly,10, Low,4,1, Moderate,7,3,34, Medium,47
9,30, High, Desktop app, Expert, Daily,11, High,3,2, Fast,7,2,32, High,51
6,45, Low, Web development, Advanced, Weekly,11, Medium,5,2, Slow,5,3,33, Low,52
4,72, Medium, Desktop app, Beginner, Daily,8, Low,2,0, Moderate,5,0,41, Medium,55
9,70, High, Web development, Expert, Weekly,14, High,2,1, Fast,8,3,60, High,32
11,46, Low, Web development, Expert, Daily,8, High,4,1, Fast,6,2,47, Low,52
8,33, High, Mobile app, Advanced, Weekly,5, Medium,3,0, Slow,8,3,58, High,71
14,33, Medium, Desktop app, Beginner, Daily,13, Low,4,2, Moderate,5,1,58, Medium,52
10,45, High, Web development, Expert, Weekly,5, High,4,0, Fast,6,0,53, High,65
14,70, Low, Mobile app, Advanced, Daily,5, Medium,5,2, Slow,9,1,55, Low,49
5,39, High, Desktop app, Beginner, Weekly,6, Low,2,1, Moderate,5,2,50, High,66
8,78, Low, Web development, Expert, Daily,8, High,4,2, Fast,6,2,49, Low,62
8,39, Medium, Mobile app, Advanced, Weekly,8, Medium,2,1, Slow,8,2,38, Medium,63
6,75, Low, Web development, Expert, Daily,11, High,5,2, Fast,7,2,32, Low,32
10,62, Medium, Desktop app, Beginner, Weekly,4, Low,5,0, Moderate,5,3,53, Medium,47
7,77, High, Mobile app, Advanced, Daily,9, Medium,5,1, Slow,9,2,55, High,46
12,56, Low, Web development, Expert, Weekly,7, High,2,1, Fast,9,2,41, Low,54
11,79, Medium, Desktop app, Beginner, Daily,7, Low,4,0, Moderate,6,2,42, Medium,57
8,71, Low, Mobile app, Expert, Weekly,13, High,4,2, Fast,8,0,34, Low,43
5,30, High, Web development, Advanced, Daily,10, Medium,5,0, Slow,9,2,44, High,44
11,53, Medium, Mobile app, Beginner, Weekly,8, Low,5,0, Moderate,8,2,41, Medium,42
5,62, High, Desktop app, Expert, Daily,7, High,4,2, Fast,6,1,30, High,54
13,38, Low, Web development, Advanced, Weekly,6, Medium,3,0, Slow,8,2,30, Low,43
13,46, Medium, Desktop app, Beginner, Daily,10, Low,5,2, Moderate,5,2,56, Medium,55
13,32, High, Web development, Expert, Weekly,7, High,5,2, Fast,6,1,40, High,68
4,70, Low, Web development, Expert, Daily,4, High,5,1, Fast,7,3,49, Low,53
10,52, High, Mobile app, Advanced, Weekly,10, Medium,5,1, Slow,7,0,59, High,68
13,31, Medium, Desktop app, Beginner, Daily,8, Low,2,2, Moderate,10,3,43, Medium,63
7,68, High, Web development, Expert, Weekly,4, High,5,0, Fast,7,2,47, High,60
5,80, Low, Mobile app, Advanced, Daily,4, Medium,3,0, Slow,8,1,42, Low,33
12,63, High, Desktop app, Beginner, Weekly,6, Low,4,1, Moderate,10,2,39, High,74
5,68, Low, Web development, Expert, Daily,4, High,2,1, Fast,6,1,42, Low,38
9,32, Medium, Mobile app, Advanced, Weekly,10, Medium,3,0, Slow,7,1,42, Medium,39
13,67, Low, Web development, Expert, Daily,11, High,3,0, Fast,9,2,36, Low,57
10,57, Medium, Desktop app, Beginner, Weekly,6, Low,3,1, Moderate,7,2,41, Medium,39
12,43, High, Mobile app, Advanced, Daily,10, Medium,3,2, Slow,8,0,40, High,32
11,49, Low, Web development, Expert, Weekly,11, High,4,0, Fast,7,2,53, Low,32
13,36, Medium, Desktop app, Beginner, Daily,12, Low,2,2, Moderate,6,0,44, Medium,46
11,59, Low, Mobile app, Expert, Weekly,4, High,5,1, Fast,8,0,45, Low,35
7,68, High, Web development, Advanced, Daily,4, Medium,3,2, Slow,5,0,53, High,63
4,79, Medium, Mobile app, Beginner, Weekly,9, Low,2,2, Moderate,6,2,47, Medium,70
9,47, High, Desktop app, Expert, Daily,4, High,4,2, Fast,6,2,44, High,53
4,31, Low, Web development, Advanced, Weekly,11, Medium,3,0, Slow,9,2,58, Low,43
7,79, Medium, Desktop app, Beginner, Daily,11, Low,2,2, Moderate,8,2,43, Medium,49
5,59, High, Web development, Expert, Weekly,7, High,2,1, Fast,6,1,51, High,34
13,31, Low, Web development, Expert, Daily,10, High,4,2, Fast,10,3,60, Low,58
14,66, High, Mobile app, Advanced, Weekly,13, Medium,4,2, Slow,10,0,46, High,48
11,74, Medium, Desktop app, Beginner, Daily,4, Low,4,2, Moderate,8,0,50, Medium,63
11,78, High, Web development, Expert, Weekly,10, High,2,1, Fast,8,1,46, High,67
10,68, Low, Mobile app, Advanced, Daily,12, Medium,5,2, Slow,5,3,58, Low,45
4,68, High, Desktop app, Beginner, Weekly,7, Low,2,0, Moderate,5,3,31, High,71
9,41, Low, Web development, Expert, Daily,11, High,5,0, Fast,9,0,51, Low,32
13,79, Medium, Mobile app, Advanced, Weekly,9, Medium,5,0, Slow,9,3,32, Medium,47
5,39, Low, Web development, Expert, Daily,4, High,3,0, Fast,10,1,56, Low,65
10,58, Medium, Desktop app, Beginner, Weekly,12, Low,5,1, Moderate,7,3,53, Medium,47
13,36, High, Mobile app, Advanced, Daily,8, Medium,3,0, Slow,7,3,39, High,41
13,74, Low, Web development, Expert, Weekly,14, High,4,1, Fast,6,1,52, Low,47
13,33, Medium, Desktop app, Beginner, Daily,14, Low,2,1, Moderate,8,0,49, Medium,74
12,52, Low, Mobile app, Expert, Weekly,13, High,5,1, Fast,9,2,48, Low,51
12,56, High, Web development, Advanced, Daily,6, Medium,4,1, Slow,9,3,49, High,71
14,69, Medium, Mobile app, Beginner, Weekly,8, Low,5,2, Moderate,5,0,39, Medium,69
6,65, High, Desktop app, Expert, Daily,12, High,5,0, Fast,6,3,54, High,59
11,30, Low, Web development, Advanced, Weekly,8, Medium,2,0, Slow,6,2,43, Low,47
14,79, Medium, Desktop app, Beginner, Daily,10, Low,4,1, Moderate,5,1,60, Medium,51
11,52, High, Web development, Expert, Weekly,12, High,3,0, Fast,6,3,57, High,70
11,75, Low, Web development, Expert, Daily,5, High,4,1, Fast,7,1,56, Low,49
13,66, High, Mobile app, Advanced, Weekly,4, Medium,3,2, Slow,10,3,32, High,57
11,45, Medium, Desktop app, Beginner, Daily,4, Low,2,2, Moderate,8,3,56, Medium,52
9,33, High, Web development, Expert, Weekly,4, High,3,0, Fast,10,0,57, High,50
5,56, Low, Mobile app, Advanced, Daily,8, Medium,3,1, Slow,8,1,59, Low,44
10,34, High, Desktop app, Beginner, Weekly,11, Low,5,2, Moderate,5,0,49, High,35
5,37, Low, Web development, Expert, Daily,10, High,5,1, Fast,5,0,40, Low,66
6,45, Medium, Mobile app, Advanced, Weekly,5, Medium,4,0, Slow,7,3,31, Medium,47
6,77, Low, Web development, Expert, Daily,11, High,4,1, Fast,7,0,57, Low,39
4,45, Medium, Desktop app, Beginner, Weekly,13, Low,3,1, Moderate,9,3,53, Medium,41
7,70, High, Mobile app, Advanced, Daily,14, Medium,2,1, Slow,7,2,55, High,47
12,63, Low, Web development, Expert, Weekly,9, High,3,2, Fast,10,1,31, Low,58
8,40, Medium, Desktop app, Beginner, Daily,12, Low,2,1, Moderate,8,3,47, Medium,60
10,46, Low, Mobile app, Expert, Weekly,5, High,5,0, Fast,6,0,49, Low,56
11,55, High, Web development, Advanced, Daily,11, Medium,3,2, Slow,6,3,52, High,38
12,51, Medium, Mobile app, Beginner, Weekly,5, Low,5,2, Moderate,5,3,35, Medium,43
6,58, High, Desktop app, Expert, Daily,12, High,4,1, Fast,6,0,50, High,32
13,63, Low, Web development, Advanced, Weekly,6, Medium,3,1, Slow,7,3,55, Low,52
5,32, Medium, Desktop app, Beginner, Daily,14, Low,4,0, Moderate,5,3,55, Medium,36
8,63, High, Web development, Expert, Weekly,6, High,5,1, Fast,6,0,57, High,55
9,53, Low, Web development, Expert, Daily,8, High,4,1, Fast,10,3,59, Low,50
12,43, High, Mobile app, Advanced, Weekly,4, Medium,4,2, Slow,7,3,37, High,49
10,56, Medium, Desktop app, Beginner, Daily,11, Low,3,2, Moderate,10,3,57, Medium,35
11,55, High, Web development, Expert, Weekly,14, High,2,0, Fast,10,1,45, High,58
10,76, Low, Mobile app, Advanced, Daily,11, Medium,5,1, Slow,10,3,44, Low,63
8,49, High, Desktop app, Beginner, Weekly,13, Low,2,1, Moderate,6,0,44, High,42
7,61, Low, Web development, Expert, Daily,8, High,2,2, Fast,10,3,46, Low,61
9,69, Medium, Mobile app, Advanced, Weekly,7, Medium,3,0, Slow,7,3,54, Medium,60
12,68, Low, Web development, Expert, Daily,11, High,4,2, Fast,9,1,46, Low,60
14,68, Medium, Desktop app, Beginner, Weekly,14, Low,5,0, Moderate,5,3,48, Medium,61
14,39, High, Mobile app, Advanced, Daily,6, Medium,5,0, Slow,6,2,42, High,57
10,61, Low, Web development, Expert, Weekly,10, High,4,1, Fast,8,2,30, Low,47
7,42, Medium, Desktop app, Beginner, Daily,10, Low,3,2, Moderate,10,3,53, Medium,50
9,34, Low, Mobile app, Expert, Weekly,13, High,3,0, Fast,8,1,49, Low,69
13,79, High, Web development, Advanced, Daily,5, Medium,3,0, Slow,7,3,44, High,33
11,48, Medium, Mobile app, Beginner, Weekly,5, Low,2,1, Moderate,6,2,37, Medium,54
8,50, High, Desktop app, Expert, Daily,11, High,2,1, Fast,6,2,55, High,36
4,54, Low, Web development, Advanced, Weekly,14, Medium,3,1, Slow,10,3,47, Low,57
9,38, Medium, Desktop app, Beginner, Daily,12, Low,5,2, Moderate,9,1,45, Medium,54
10,44, High, Web development, Expert, Weekly,8, High,3,1, Fast,5,0,58, High,64
13,49, Low, Web development, Expert, Daily,5, High,3,0, Fast,6,2,51, Low,33
14,72, High, Mobile app, Advanced, Weekly,14, Medium,3,1, Slow,6,1,51, High,71
5,32, Medium, Desktop app, Beginner, Daily,12, Low,3,0, Moderate,8,3,51, Medium,69
10,54, High, Web development, Expert, Weekly,10, High,2,1, Fast,8,2,37, High,33
9,32, Low, Mobile app, Advanced, Daily,14, Medium,5,1, Slow,5,3,59, Low,71
11,50, High, Desktop app, Beginner, Weekly,10, Low,3,0, Moderate,7,1,57, High,48
9,46, Low, Web development, Expert, Daily,14, High,3,0, Fast,5,3,43, Low,70
13,48, Medium, Mobile app, Advanced, Weekly,12, Medium,2,1, Slow,6,0,42, Medium,34
14,45, Low, Web development, Expert, Daily,9, High,2,0, Fast,10,1,42, Low,36
14,70, Medium, Desktop app, Beginner, Weekly,8, Low,2,2, Moderate,6,1,31, Medium,60
9,80, High, Mobile app, Advanced, Daily,12, Medium,5,1, Slow,7,1,40, High,37
8,62, Low, Web development, Expert, Weekly,8, High,3,2, Fast,7,0,41, Low,46
12,45, Medium, Desktop app, Beginner, Daily,12, Low,3,1, Moderate,8,1,36, Medium,66
6,73, Low, Mobile app, Expert, Weekly,5, High,3,0, Fast,9,3,32, Low,42
10,35, High, Web development, Advanced, Daily,8, Medium,3,1, Slow,5,3,54, High,41
8,46, Medium, Mobile app, Beginner, Weekly,6, Low,2,1, Moderate,10,3,56, Medium,41
7,77, High, Desktop app, Expert, Daily,7, High,5,1, Fast,8,3,58, High,57
