School,Standard Score,District,City,Zip,County,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent Homes Rented,Percent parents with less than High School education,Percent Parents with Masters and above education,Percent Home Incomes less than Median income,Percent using Food stamps,Percent of Crimes
Pioneer High,61.6,Woodland Joint Unified,Woodland,95776,Yolo County,Yes,No,No,No,1544,72.3,21.3,0.55,0.01,0,0.09,0.68,0.01,0.03
El Camino Fundamental High,61.6,San Juan Unified,Sacramento,95821,Sacramento County,No,No,No,No,1320,56.1,23.5,0.47,0.09,0.01,0.06,0.26,0.01,0.07
Upland High,61.6,Upland Unified,Upland,91786,San Bernardino County,No,No,No,No,3195,136.9,23.3,0.53,0.09,0.01,0.08,0.56,0.01,0.02
JCS - Pine Hills,61.6,JCS - Pine Hills District,Temecula,92592,Riverside County,(n/a),Yes,No,No,709,41.2,17.1,0.18,0.04,0.02,0.03,0.26,0,0.09
Adrian Wilcox High,61.6,Santa Clara Unified,Santa Clara,95051,Santa Clara County,No,No,No,No,1961,88.6,22.1,0.38,0.02,0.01,0.36,0.38,0.01,0.04
Foresthill High,61.6,Placer Union High,Foresthill,95631,Placer County,Yes,No,No,No,198,10.1,19.4,0.33,0.01,0.02,0.01,0.14,0,0.07
Middle College High,61.4,San Jose Unified,San Jose,95128,Santa Clara County,Yes,No,No,No,43,2,21.5,0.49,0.02,0.05,0.14,0.44,0.02,0.07
California Connections Academy @ Ripon,61.3,California Connections Academy @ Ripon District,Ripon,95366,San Joaquin County,Yes,Yes,No,Yes,1360,42.8,31.7,0.46,0.07,0,0.05,0.31,0,0.22
Paso Robles High,61.3,Paso Robles Joint Unified,Paso Robles,93446,San Luis Obispo County,No,No,No,No,2150,94.3,22.7,0.42,0.02,0.01,0.02,0.5,0,0.02
Sutter High,61.3,Sutter Union High,Sutter,95982,Sutter County,Yes,No,No,No,737,31.3,23.5,0.32,0,0.02,0.04,0.25,0,0.04
Terra Nova High,61.2,Jefferson Union High,Pacifica,94044,San Mateo County,No,No,No,No,812,40.5,20,0.16,0.01,0.01,0.16,0.28,0.02,0.15
Aspire Langston Hughes Academy,61.2,Aspire Langston Hughes Academy District,Stockton,95205,San Joaquin County,Yes,Yes,No,No,756,33.2,22.7,0.71,0.14,0.01,0.08,0.67,0,0.04
Santa Clara High,61.2,Santa Clara Unified,Santa Clara,95051,Santa Clara County,No,No,No,No,1967,86.7,22.6,0.4,0.04,0.01,0.33,0.35,0,0.06
San Benito High,61.2,San Benito High,Hollister,95023,San Benito County,Yes,No,No,No,3005,106.2,28.2,0.58,0,0,0.03,0.73,0,0.02
Hanford High,61.1,Hanford Joint Union High,Hanford,93230,Kings County,Yes,No,No,No,1559,63.8,24.4,0.67,0.04,0,0.01,0.68,0,0.01
California Connections Academy Southern California,61.1,California Connections Academy Southern California District,San Juan Capistrano,92675,Orange County,Yes,Yes,No,Yes,3941,142.8,27.5,0.47,0.07,0,0.04,0.37,0,0.18
Princeton Junior-Senior High,61,Princeton Joint Unified,Princeton,95970,Colusa County,Yes,No,No,No,77,8,9.6,0.74,0,0.01,0,0.73,0,0
Heartland Charter,60.9,Heartland Charter District,Maricopa,93252,Kern County,(n/a),Yes,No,Yes,2849,67.5,42.1,0.38,0.02,0,0.01,0.22,0,0.13
Villa Park High,60.8,Orange Unified,Villa Park,92861,Orange County,No,No,No,No,2306,92.4,24.9,0.35,0.01,0,0.12,0.48,0.01,0.03
Sierra Vista High,60.8,Baldwin Park Unified,Baldwin Park,91706,Los Angeles County,Yes,No,No,No,1898,85.3,22.2,1,0.01,0,0.12,0.88,0,0
Kerman High,60.7,Kerman Unified,Kerman,93630,Fresno County,Yes,No,No,No,1528,61,25,0.76,0.01,0,0.06,0.83,0,0.01
Christopher High,60.7,Gilroy Unified,Gilroy,95020,Santa Clara County,No,No,No,No,1629,70.9,22.9,0.41,0.02,0.01,0.08,0.6,0,0.06
Futures High,60.7,Futures High District,Sacramento,95838,Sacramento County,Yes,Yes,No,No,372,18,20.6,0.91,0.01,0,0.02,0.09,0,0.01
San Rafael High,60.6,San Rafael City High,San Rafael,94901,Marin County,Yes,No,No,No,1333,58.2,22.9,0.62,0.01,0,0.04,0.67,0.01,0.01
Serra High,60.6,San Diego Unified,San Diego,92124,San Diego County,Yes,No,No,No,1466,66,22.2,0.51,0.07,0.01,0.11,0.41,0,0.11
Horizon,60.6,Desert Sands Unified,La Quinta,92253,Riverside County,No,No,No,No,198,14.8,13.3,0.51,0.01,0.01,0,0.74,0,0.05
Royal High,60.5,Simi Valley Unified,Simi Valley,93065,Ventura County,No,No,No,No,2068,86.8,23.8,0.34,0.01,0,0.08,0.41,0,0.03
Sierra High,60.5,Sierra Unified,Tollhouse,93667,Fresno County,Yes,No,No,No,382,18.6,20.4,0.41,0,0.15,0.01,0.13,0,0.01
Alliance Tennenbaum Family Technology High,60.5,Alliance Tennenbaum Family Technology High District,Los Angeles,90065,Los Angeles County,Yes,Yes,No,No,297,18.7,15.8,0.88,0.02,0.01,0.02,0.93,0,0
Orland High,60.5,Orland Joint Unified,Orland,95963,Glenn County,No,No,No,No,730,33.8,21.5,0.64,0,0.01,0.04,0.57,0,0.01
Hayfork High,60.3,Mountain Valley Unified,Hayfork,96041,Trinity County,Yes,No,No,No,72,7.1,10,0.75,0,0.08,0.18,0.13,0,0.11
Ivy Academia,60.3,Ivy Academia District,Woodland Hills,91367,Los Angeles County,Yes,Yes,No,No,667,33,20.2,0.69,0.08,0,0.13,0.58,0,0.06
Bear Creek High,60.3,Lodi Unified,Stockton,95209,San Joaquin County,No,No,No,No,2172,105.3,20.6,0.58,0.14,0.01,0.31,0.34,0.01,0.04
Elite Academic Academy - Mountain Empire,60.3,Elite Academic Academy - Mountain Empire District,Temecula,92590,Riverside County,Yes,Yes,No,Yes,282,13.8,20.4,0.42,0.04,0.03,0.04,0.28,0,0.11
Unity Middle College High,60.3,Unity Middle College High District,Orange,92868,Orange County,Yes,Yes,No,No,79,4.3,18.2,0.46,0,0,0.03,0.65,0,0.03
Long Valley,60.3,Long Valley District,Doyle,96109,Lassen County,Yes,Yes,No,No,232,10.1,22.8,0.6,0.01,0.03,0.01,0.14,0,0.08
Benjamin Franklin Senior High,60.2,Los Angeles Unified,Los Angeles,90042,Los Angeles County,Yes,No,No,No,1422,62.8,22.6,0.9,0.01,0.01,0.05,0.91,0,0
Burton (Phillip and Sala) Academic High,60.1,San Francisco Unified,San Francisco,94134,San Francisco County,No,No,No,No,1092,46.1,23.6,0.67,0.09,0,0.5,0.3,0.03,0.06
California Virtual Academy at Maricopa,60.1,California Virtual Academy at Maricopa District,Simi Valley,93065,Ventura County,Yes,Yes,No,Yes,549,26.2,20.9,0.7,0.1,0.03,0.03,0.26,0,0.09
Gorman Learning Center San Bernardino/Santa Clarita,60.1,Gorman Learning Center San Bernardino/Santa Clarita District,Santa Clarita,91387,Los Angeles County,Yes,Yes,No,No,1266,60.3,20.9,0.26,0.04,0,0.06,0.33,0,0.1
Alliance Margaret M. Bloomfield Technology Academy High,60,Alliance Margaret M.Bloomfield Technology Academy High Dist,Huntington Park,90255,Los Angeles County,Yes,Yes,No,No,525,25.3,20.7,0.89,0,0,0,0.94,0,0.04
San Pasqual High,60,Escondido Union High,Escondido,92025,San Diego County,Yes,No,No,No,2191,96.4,22.7,0.58,0.02,0,0.06,0.66,0,0.01
Marina High,59.9,Monterey Peninsula Unified,Marina,93933,Monterey County,No,No,No,No,584,26.7,21.8,0.62,0.06,0.01,0.16,0.49,0.04,0.06
Feather River Charter,59.9,Inspire Charter School - North District,Meridian,95957,Sutter County,(n/a),Yes,No,Yes,2614,59.8,43.6,0.4,0.03,0.01,0.03,0.15,0,0.11
Evergreen Institute of Excellence,59.8,Evergreen Union,Cottonwood,96022,Tehama County,No,Yes,No,No,127,6.5,19.5,0.5,0.01,0.02,0,0.16,0,0.07
Hector G. Godinez,59.8,Santa Ana Unified,Santa Ana,92704,Orange County,Yes,No,No,No,2449,95.7,25.5,0.86,0,0,0.01,0.98,0,0
Anderson High,59.8,Anderson Union High,Anderson,96007,Shasta County,Yes,No,No,No,538,24.9,21.6,0.65,0.03,0.07,0.07,0.25,0.01,0.03
Cesar E. Chavez High,59.7,Delano Joint Union High,Delano,93215,Kern County,Yes,No,No,No,1488,62.2,23.9,0.87,0,0,0.1,0.88,0,0
Northern United - Siskiyou Charter,59.7,Northern United - Siskiyou Charter District,Yreka,96097,Siskiyou County,Yes,Yes,No,No,131,9.1,14.3,0.85,0.02,0.05,0.02,0.15,0,0.15
John Henry High,59.7,John Henry High District,Richmond,94804,Contra Costa County,Yes,Yes,No,No,320,,,0.84,0.03,0,0.02,0.95,0,0
Mayfair High,59.6,Bellflower Unified,Lakewood,90713,Los Angeles County,No,No,No,No,2889,124.3,23.2,0.57,0.15,0,0.11,0.53,0.01,0.04
Mt. Pleasant High,59.5,East Side Union High,San Jose,95127,Santa Clara County,Yes,No,Yes,No,1271,59.7,21.2,0.64,0.02,0.01,0.25,0.68,0.01,0.01
California High,59.5,Whittier Union High,Whittier,90604,Los Angeles County,Yes,No,No,No,2807,101.4,27.6,0.73,0,0,0.03,0.9,0,0
Animo Leadership High,59.4,Animo Leadership High District,Inglewood,90301,Los Angeles County,Yes,Yes,No,No,641,28,22.8,0.95,0.01,0,0,0.99,0,0
South El Monte High,59.4,El Monte Union High,South El Monte,91733,Los Angeles County,Yes,No,No,No,1240,62.2,19.9,0.9,0,0,0.04,0.96,0,0
Buena High,59.4,Ventura Unified,Ventura,93003,Ventura County,No,No,No,No,1849,80.8,22.8,0.51,0.02,0,0.04,0.51,0,0.03
Costa Mesa High,59.4,Newport-Mesa Unified,Costa Mesa,92626,Orange County,Yes,No,No,No,1846,84.5,21.8,0.63,0.01,0,0.08,0.63,0.01,0.02
Bassett Senior High,59.4,Bassett Unified,La Puente,91746,Los Angeles County,Yes,No,No,No,940,40.7,23,0.93,0,0,0.05,0.94,0,0
California Virtual Academy @ Sonoma,59.4,California Virtual Academy @ Sonoma District,Simi Valley,93065,Ventura County,Yes,Yes,No,Yes,622,20.9,29.7,0.58,0.14,0.02,0.08,0.19,0.01,0.09
George Washington Carver School of Arts and Science,59.3,Sacramento City Unified,Sacramento,95827,Sacramento County,No,Yes,No,No,256,12.8,20,0.47,0.07,0,0.03,0.22,0,0.07
Shandon High,59.3,Shandon Joint Unified,Shandon,93461,San Luis Obispo County,Yes,No,No,No,81,6.8,11.9,0.8,0,0,0,0.77,0,0
Gladstone High,59.2,Azusa Unified,Covina,91722,Los Angeles County,Yes,No,No,No,1084,48.4,22.3,0.79,0.01,0,0.02,0.93,0,0.01
South Tahoe High,59.1,Lake Tahoe Unified,South Lake Tahoe,96150,El Dorado County,Yes,No,No,No,1082,55.9,19.3,0.51,0.01,0.01,0.06,0.41,0,0.02
Sierra High,59.1,Manteca Unified,Manteca,95336,San Joaquin County,Yes,No,No,No,1377,69.8,19.7,0.44,0.05,0,0.19,0.49,0.01,0.03
Academy (The)- SF @McAteer,59.1,San Francisco Unified,San Francisco,94131,San Francisco County,No,No,No,No,358,14.5,24.6,0.55,0.16,0.01,0.25,0.35,0,0.1
Oakdale Charter,59.1,Oakdale Joint Unified,Oakdale,95361,Stanislaus County,No,Yes,No,No,61,2.9,21,0.34,0.02,0,0.02,0.28,0,0.1
Sanger High,59,Sanger Unified,Sanger,93657,Fresno County,Yes,No,No,No,3102,124.5,24.9,0.7,0.01,0,0.13,0.74,0,0.02
El Capitan High,58.9,Grossmont Union High,Lakeside,92040,San Diego County,Yes,No,No,No,1659,70.9,23.3,0.53,0.02,0.02,0.02,0.29,0,0.05
Del Campo High,58.8,San Juan Unified,Fair Oaks,95628,Sacramento County,No,No,No,No,1730,75.6,22.8,0.5,0.07,0.01,0.05,0.21,0.01,0.06
Frontier High,58.8,Kern High,Bakersfield,93314,Kern County,No,No,No,No,2233,80.3,27.8,0.27,0.02,0.01,0.08,0.34,0.01,0.03
High Technical High,58.8,High Technical High District,San Diego,92106,San Diego County,Yes,Yes,No,No,525,33,15.9,0.43,0.05,0.01,0.07,0.47,0,0.07
Excelsior Charter School Corona-Norco,58.8,Excelsior Charter School Corona-Norco District,Corona,92879,Riverside County,Yes,Yes,No,No,82,3.1,26.4,0.34,0.05,0,0.01,0.48,0,0.04
Chester Junior/Senior High,58.7,Plumas Unified,Chester,96020,Plumas County,No,No,No,No,159,10.6,14.9,0.44,0.01,0.01,0.03,0.14,0,0.06
Santa Paula High,58.7,Santa Paula Unified,Santa Paula,93060,Ventura County,Yes,No,No,No,1684,67.9,24.7,0.82,0,0,0,0.96,0,0
Frazier Mountain High,58.7,El Tejon Unified,Lebec,93243,Kern County,Yes,No,No,No,263,12.4,21.1,0.59,0.01,0.02,0.02,0.4,0,0.04
Joseph A. Gregori High,58.7,Modesto City High,Modesto,95356,Stanislaus County,No,No,No,No,2264,88.2,25.6,0.49,0.02,0,0.06,0.51,0.01,0.08
Central Valley High,58.6,Gateway Unified,Shasta Lake,96019,Shasta County,No,No,No,No,593,29.6,20,0.66,0.02,0.08,0.03,0.16,0.01,0.02
Citrus Hill High,58.6,Val Verde Unified,Perris,92570,Riverside County,Yes,No,No,No,1902,82.1,23.1,0.82,0.06,0,0.01,0.85,0,0.02
Van Nuys Senior High,58.6,Los Angeles Unified,Van Nuys,91411,Los Angeles County,Yes,No,Yes,No,2634,115.5,22.8,0.76,0.04,0,0.19,0.64,0.01,0
Venice Senior High,58.6,Los Angeles Unified,Los Angeles,90066,Los Angeles County,Yes,No,Yes,No,1984,87.3,22.7,0.64,0.14,0,0.09,0.62,0,0
Pivot Charter School North Valley II,58.6,Pivot Charter School North Valley II District,Chico,95928,Butte County,(n/a),Yes,No,Yes,122,42.4,2.8,0.64,0.01,0.02,0.03,0.21,0.01,0.05
South San Francisco High,58.5,South San Francisco Unified,South San Francisco,94080,San Mateo County,No,No,No,No,1321,61.8,21.3,0.44,0.01,0,0.31,0.57,0.02,0.04
Enterprise Alternative,58.5,Clovis Unified,Clovis,93611,Fresno County,No,No,No,No,74,5.7,12.9,0.46,0.04,0.01,0.08,0.32,0,0.05
Hilmar High,58.5,Hilmar Unified,Hilmar,95324,Merced County,No,No,No,No,696,32.2,21.5,0.53,0.01,0,0.01,0.43,0,0.01
Leadership Public Schools: Richmond,58.3,Leadership Public Schools: Richmond District,Richmond,94801,Contra Costa County,Yes,Yes,No,No,597,23.6,25.2,0.86,0.03,0,0.02,0.93,0,0.03
Chino High,58.3,Chino Valley Unified,Chino,91710,San Bernardino County,Yes,No,No,No,1847,84.5,21.8,0.66,0.02,0,0.04,0.81,0,0.01
Yerba Buena High,58.3,East Side Union High,San Jose,95122,Santa Clara County,Yes,No,Yes,No,1706,77,22.1,0.66,0.01,0,0.48,0.49,0,0.01
Creative Connections Arts Academy,58.3,Twin Rivers Unified,North Highlands,95660,Sacramento County,Yes,Yes,No,No,715,29.8,23.9,0.65,0.15,0.02,0.04,0.37,0.01,0.04
East Village Middle College High,58.2,San Diego Unified,San Diego,92101,San Diego County,Yes,No,No,No,110,8,13.7,0.85,0.06,0,0.06,0.79,0,0.04
Escondido High,58.2,Escondido Union High,Escondido,92026,San Diego County,Yes,No,No,No,2244,104.3,21.5,0.71,0.03,0,0.05,0.78,0,0
Liberty High,58.1,Golden Valley Unified,Madera,93636,Madera County,No,No,No,No,561,28.2,19.8,0.4,0.02,0.01,0.04,0.4,0,0.02
Diamond Technology Institute,58.1,Pajaro Valley Unified,Watsonville,95076,Santa Cruz County,Yes,Yes,No,No,75,5,15,0.89,0.01,0,0.04,0.8,0,0
Valley Oaks Charter,57.9,Kern County Office of Education,Bakersfield,93301,Kern County,No,Yes,No,No,1122,50.7,22.1,0.33,0.02,0.02,0.02,0.28,0,0.06
Wheatland Union High,57.8,Wheatland Union High,Wheatland,95692,Yuba County,Yes,No,No,No,782,35.3,22.1,0.44,0.03,0.02,0.05,0.28,0.01,0.13
Glendale High,57.7,Glendale Unified,Glendale,91205,Los Angeles County,Yes,No,No,No,2174,93,23.3,0.73,0.01,0,0.13,0.34,0,0.01
Encore High School for the Arts - Riverside,57.7,Encore High School for the Arts - Riverside District,Riverside,92501,Riverside County,Yes,Yes,No,No,872,29.3,29.7,0.31,0.14,0.01,0.02,0.44,0,0.04
William Workman High,57.6,Hacienda la Puente Unified,City Of Industry,91744,Los Angeles County,Yes,No,No,No,1040,46.1,22.5,0.84,0.01,0,0.07,0.89,0,0.01
Vanden High,57.6,Travis Unified,Fairfield,94533,Solano County,No,No,No,No,1730,73,23.6,0.25,0.15,0.01,0.18,0.25,0.01,0.09
Schurr High,57.6,Montebello Unified,Montebello,90640,Los Angeles County,Yes,No,No,No,2723,103.5,26.3,0.73,0.01,0,0.06,0.91,0,0.01
Cajon High,57.5,San Bernardino City Unified,San Bernardino,92407,San Bernardino County,Yes,No,Yes,No,2812,107,26.2,0.74,0.14,0,0.02,0.68,0.01,0.02
El Cerrito High,57.5,West Contra Costa Unified,El Cerrito,94530,Contra Costa County,No,No,No,No,1506,61.8,24.3,0.42,0.19,0,0.21,0.27,0.01,0.03
Middletown High,57.5,Middletown Unified,Middletown,95461,Lake County,No,No,No,No,499,24.1,20.6,0.51,0,0.01,0.02,0.24,0,0.03
Ridgeview High,57.4,Kern High,Bakersfield,93313,Kern County,Yes,No,No,No,2630,109.2,24,0.69,0.09,0,0.1,0.69,0,0.01
Rancho Verde High,57.4,Val Verde Unified,Moreno Valley,92551,Riverside County,Yes,No,No,No,2074,83.1,24.9,0.74,0.23,0.01,0.06,0.61,0,0.04
South Hills High,57.3,Covina-Valley Unified,West Covina,91723,Los Angeles County,No,No,No,No,1615,69.2,23.3,0.56,0.03,0,0.12,0.72,0,0.01
California Virtual Academy at Fresno,57.3,California Virtual Academy at Fresno District,Simi Valley,93065,Ventura County,Yes,Yes,No,Yes,583,22.4,25.9,0.68,0.1,0.02,0.04,0.33,0,0.06
Atascadero Choices in Education Academy (ACE),57.1,Atascadero Unified,Atascadero,93422,San Luis Obispo County,No,No,No,No,130,6.9,18.7,0.3,0.02,0.01,0.02,0.25,0,0.05
Beaumont Senior High,57.1,Beaumont Unified,Beaumont,92223,Riverside County,Yes,No,No,No,2858,110.8,25.7,0.57,0.07,0.01,0.06,0.52,0,0.03
River City High,57,Washington Unified,West Sacramento,95691,Yolo County,Yes,No,No,No,2174,92.7,23.4,0.68,0.06,0.01,0.15,0.44,0.02,0.02
Monache High,57,Porterville Unified,Porterville,93257,Tulare County,Yes,No,No,No,1998,80.9,24.6,0.64,0.01,0.01,0.06,0.76,0,0.02
Summerville High,57,Summerville Union High,Tuolumne,95379,Tuolumne County,Yes,No,No,No,376,25.8,14.5,0.44,0.02,0.04,0.01,0.15,0.01,0.06
Riverdale High,57,Riverdale Joint Unified,Riverdale,93656,Fresno County,Yes,No,No,No,515,30.2,17,0.79,0,0.01,0.01,0.85,0,0
Colusa High,57,Colusa Unified,Colusa,95932,Colusa County,No,No,No,No,398,22.5,17.6,0.58,0,0.02,0.01,0.69,0,0
Compass Charter Schools of San Diego,56.9,Compass Charter Schools of San Diego District,Thousand Oaks,91361,Ventura County,Yes,Yes,No,Yes,598,54.6,10.9,0.36,0.04,0,0.03,0.44,0,0.08
Marysville High,56.9,Marysville Joint Unified,Marysville,95901,Yuba County,Yes,No,No,No,938,43.1,21.7,0.68,0.05,0.05,0.07,0.31,0.01,0.04
University High School Charter,56.8,Los Angeles Unified,Los Angeles,90025,Los Angeles County,Yes,Yes,No,No,1511,67.5,22.3,0.74,0.25,0,0.09,0.53,0,0
Weber Institute,56.7,Stockton Unified,Stockton,95203,San Joaquin County,Yes,No,No,No,427,15.8,26.9,0.68,0.02,0.01,0.06,0.88,0.01,0
Excelsior Charter,56.7,Excelsior Charter District,Victorville,92395,San Bernardino County,Yes,Yes,No,No,1894,81,23.3,0.53,0.11,0.01,0.02,0.41,0,0.08
John Swett High,56.7,John Swett Unified,Crockett,94525,Contra Costa County,Yes,No,No,No,453,23,19.6,0.49,0.16,0,0.25,0.33,0,0.08
Felicitas and Gonzalo Mendez High,56.6,Los Angeles Unified,Los Angeles,90033,Los Angeles County,Yes,No,No,No,1044,52,20,0.93,0.01,0,0.01,0.98,0,0
Ontario High,56.6,Chaffey Joint Union High,Ontario,91762,San Bernardino County,Yes,No,No,No,2419,103,23.4,0.84,0.02,0.01,0.03,0.9,0,0.02
Academy of Careers and Exploration,56.6,Helendale Elementary,Helendale,92342,San Bernardino County,No,Yes,No,No,324,15.2,21.1,0.53,0.11,0.01,0.02,0.49,0.01,0.01
Central Union High,56.5,Central Union High,El Centro,92243,Imperial County,Yes,No,No,No,1851,86.6,21.3,0.77,0.01,0,0,0.96,0,0
Southwest High,56.5,Central Union High,El Centro,92243,Imperial County,Yes,No,No,No,2114,92.8,22.7,0.72,0.01,0,0.01,0.93,0,0
Norco High,56.4,Corona-Norco Unified,Norco,92860,Riverside County,No,No,No,No,2062,84.9,24.2,0.42,0.03,0,0.04,0.49,0,0.03
Nipomo High,56.3,Lucia Mar Unified,Nipomo,93444,San Luis Obispo County,Yes,No,No,No,937,52.4,17.8,0.65,0.01,0,0.02,0.62,0,0.03
Leroy Greene Academy,56.3,Natomas Unified,Sacramento,95833,Sacramento County,No,Yes,No,No,778,38.7,20,0.6,0.14,0,0.14,0.45,0.01,0.07
Newark Memorial High,56.3,Newark Unified,Newark,94560,Alameda County,No,No,No,No,1711,59.6,28.6,0.46,0.04,0,0.24,0.52,0.02,0.03
John F. Kennedy High,56.2,Los Angeles Unified,Granada Hills,91344,Los Angeles County,Yes,No,Yes,No,2349,98.8,23.7,0.75,0.03,0,0.06,0.81,0,0
California Pacific Charter- Los Angeles,56.2,California Pacific Charter- Los Angeles District,Newport Beach,92660,San Diego County,(n/a),Yes,No,Yes,541,53.2,10.1,0.38,0.07,0,0.1,0.39,0,0.13
Golden West High,55.9,Visalia Unified,Visalia,93292,Tulare County,Yes,No,No,No,1780,78.7,22.6,0.65,0.01,0.01,0.04,0.73,0,0.03
Atascadero High,55.9,Atascadero Unified,Atascadero,93422,San Luis Obispo County,No,No,No,No,1322,61.6,21.4,0.34,0.01,0.01,0.03,0.28,0,0.03
Templeton Independent Study High,55.9,Templeton Unified,Templeton,93465,San Luis Obispo County,Yes,No,No,No,71,4,17.7,0.31,0,0,0.01,0.2,0,0.14
Bitney Prep High,55.8,Nevada County Office of Education,Grass Valley,95945,Nevada County,No,Yes,No,No,95,5.9,15.9,0.51,0,0,0,0.1,0,0.14
Fontana A. B. Miller High,55.8,Fontana Unified,Fontana,92336,San Bernardino County,Yes,No,No,No,2145,112.9,18.9,0.87,0.06,0,0.02,0.88,0,0.01
Andrew P. Hill High,55.7,East Side Union High,San Jose,95111,Santa Clara County,Yes,No,Yes,No,1867,86.9,21.4,0.63,0.02,0,0.4,0.55,0,0.01
Camino Nuevo High #2,55.6,Camino Nuevo High #2 District,Los Angeles,90004,Los Angeles County,Yes,Yes,No,No,460,21.6,21.2,0.95,0,0,0.02,0.97,0,0
CATCH Prep Charter High Inc.,55.6,CATCH Prep Charter High Inc. District,Los Angeles,90008,Los Angeles County,Yes,Yes,No,No,183,10.2,17.9,0.96,0.67,0,0.01,0.28,0,0.01
Hilltop Senior High,55.6,Sweetwater Union High,Chula Vista,91910,San Diego County,Yes,No,Yes,No,2089,87.2,23.9,0.62,0.01,0,0.03,0.86,0,0.03
Woodlake High,55.6,Woodlake Unified,Woodlake,93286,Tulare County,Yes,No,No,No,657,29.5,22.2,0.85,0,0,0.01,0.9,0,0
Empire Springs Charter,55.6,Empire Springs Charter District,Helendale,92342,San Bernardino County,Yes,Yes,No,No,1202,41.1,29.1,0.48,0.06,0,0.03,0.38,0,0.08
Alta Vista Alternative High,55.6,Santa Barbara Unified,Santa Barbara,93101,Santa Barbara County,Yes,No,No,No,117,8.4,13.9,0.41,0.02,0.01,0.04,0.5,0,0.04
Jurupa Hills High,55.4,Fontana Unified,Fontana,92337,San Bernardino County,Yes,No,No,No,1930,95.6,20.1,0.83,0.04,0,0.03,0.89,0,0.01
Summit Public School: Tahoma,55.3,Summit Public School: Tahoma District,San Jose,95123,Santa Clara County,Yes,Yes,No,No,379,24.2,15.6,0.35,0.03,0.01,0.16,0.44,0,0.15
Chatsworth Charter High,55.3,Los Angeles Unified,Chatsworth,91311,Los Angeles County,Yes,Yes,No,No,1758,80.3,21.8,0.66,0.06,0,0.13,0.65,0,0
Eureka Senior High,55.3,Eureka City Schools,Eureka,95501,Humboldt County,No,No,No,No,1138,51,22.3,0.57,0.03,0.05,0.11,0.19,0.02,0.08
Alliance Susan and Eric Smidt Technology High,55.2,Alliance Susan and Eric Smidt Technology High District,Los Angeles,90031,Los Angeles County,Yes,Yes,No,No,541,30.3,17.8,0.9,0.02,0,0.02,0.94,0,0.01
Fallbrook High,55.2,Fallbrook Union High,Fallbrook,92028,San Diego County,Yes,No,No,No,1981,92.4,21.4,0.59,0.01,0.01,0.02,0.68,0,0.03
Robert F. Kennedy High,55.2,Delano Joint Union High,Delano,93215,Kern County,Yes,No,No,No,1239,56,22,0.94,0.01,0,0.08,0.91,0,0
Rialto High,55.2,Rialto Unified,Rialto,92376,San Bernardino County,Yes,No,No,No,2711,115,23.5,0.92,0.05,0,0.02,0.9,0,0
Tomales High,55.1,Shoreline Unified,Tomales,94971,Marin County,Yes,No,No,No,156,,,0.67,0,0.01,0.01,0.62,0.02,0.03
OUSD Home School,55.1,Orange Unified,Orange,92869,Orange County,No,No,No,No,75,3.4,22,0.23,0,0.01,0.03,0.49,0,0.08
Wilmer Amina Carter High,55,Rialto Unified,Rialto,92377,San Bernardino County,Yes,No,No,No,2322,101.2,22.9,0.81,0.15,0,0.02,0.75,0.01,0.02
Audeo Charter,55,Audeo Charter District,San Diego,92121,San Diego County,Yes,Yes,No,No,518,19.7,26.2,0.6,0.11,0,0.02,0.51,0,0.1
Alexander Hamilton Senior High,55,Los Angeles Unified,Los Angeles,90034,Los Angeles County,Yes,No,Yes,No,2602,111,23.4,0.65,0.26,0,0.05,0.52,0,0
