Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score
333,John J Duggan Middle,https://www.schooldigger.com/go/MA/schools/1113002599/school.aspx,Springfield,https://www.schooldigger.com/go/MA/district/11130/search.aspx,1015 Wilbraham Rd,Springfield,https://www.schooldigger.com/go/MA/city/Springfield/search.aspx,1109,Hampden County,(413) 787-7410,6,12,Yes,No,No,No,742,73.7,10,,24.9%,0.0%,2.6%,58.9%,0.0%,1.5%,12.1%,3.1
334,Paulo Freire Social Justice Charter School,https://www.schooldigger.com/go/MA/schools/0054702782/school.aspx,Paulo Freire Social Justice Charter School (District),https://www.schooldigger.com/go/MA/district/00547/search.aspx,134 Sprinfield St,Chicopee,https://www.schooldigger.com/go/MA/city/Chicopee/search.aspx,1020,Hampden County,(413) 536-3201,9,12,Yes,Yes,No,No,243,21.9,11,,10.3%,0.0%,0.0%,86.0%,0.0%,0.8%,2.9%,3
335,City on a Hill Charter Public School Circuit Street,https://www.schooldigger.com/go/MA/schools/0002600530/school.aspx,City on a Hill Charter Public School (District),https://www.schooldigger.com/go/MA/district/00026/search.aspx,58 Circuit Street,Roxbury,https://www.schooldigger.com/go/MA/city/Roxbury/search.aspx,2119,Suffolk County,(617) 445-1515,9,12,Yes,Yes,No,No,229,20.2,11.2,,67.2%,0.0%,0.0%,30.1%,0.0%,2.2%,0.4%,3
336,The English High,https://www.schooldigger.com/go/MA/schools/0279000327/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,144 McBride Street,Boston,https://www.schooldigger.com/go/MA/city/Boston/search.aspx,2130,Suffolk County,(617) 635-8979,9,12,Yes,No,No,No,525,52.2,10,,36.8%,0.4%,0.8%,55.8%,0.2%,2.7%,3.4%,3
337,Snowden International School at Copley,https://www.schooldigger.com/go/MA/schools/0279000217/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,150 Newbury Street,Boston,https://www.schooldigger.com/go/MA/city/Boston/search.aspx,2116,Suffolk County,(617) 635-9989,9,12,Yes,No,No,No,485,38.3,12.6,,32.0%,0.2%,4.7%,55.5%,0.0%,2.1%,5.6%,2.7
338,Margarita Muniz Academy,https://www.schooldigger.com/go/MA/schools/0279002753/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,20 Child Street,Boston,https://www.schooldigger.com/go/MA/city/Boston/search.aspx,2130,Suffolk County,(617) 470-6907,9,12,Yes,No,No,No,323,25.3,12.7,,7.7%,0.3%,0.0%,90.1%,0.0%,1.5%,0.3%,2.6
339,Conservatory of the Arts,https://www.schooldigger.com/go/MA/schools/1113002818/school.aspx,Springfield,https://www.schooldigger.com/go/MA/district/11130/search.aspx,339 State St,Springfield,https://www.schooldigger.com/go/MA/city/Springfield/search.aspx,1105,Hampden County,(413) 787-7070,6,12,Yes,No,No,No,318,29.4,10.8,,16.7%,0.0%,0.6%,68.6%,0.3%,1.9%,11.0%,2.6
340,Madison Park High,https://www.schooldigger.com/go/MA/schools/0279000282/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,75 Malcolm X Blvd,Roxbury,https://www.schooldigger.com/go/MA/city/Roxbury/search.aspx,2120,Suffolk County,(617) 635-8970,9,12,Yes,No,No,No,1160,121.3,9.5,,38.7%,0.3%,1.3%,54.3%,0.4%,1.9%,3.0%,2.5
341,Brighton High,https://www.schooldigger.com/go/MA/schools/0279000208/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,25 Warren Street,Brighton,https://www.schooldigger.com/go/MA/city/Brighton/search.aspx,2135,Suffolk County,(617) 635-9873,9,12,Yes,No,No,No,360,47.2,7.6,,32.2%,0.3%,4.7%,56.7%,0.3%,1.4%,4.4%,2.3
342,William McKinley,https://www.schooldigger.com/go/MA/schools/0279000342/school.aspx,Boston,https://www.schooldigger.com/go/MA/district/02790/search.aspx,90 Warren Avenue,Boston,https://www.schooldigger.com/go/MA/city/Boston/search.aspx,2116,Suffolk County,(617) 635-9976,2,12,Yes,No,No,No,219,57.3,3.8,,42.9%,0.9%,2.3%,42.9%,0.0%,3.7%,6.8%,1.2
