Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2024-25)
318,Dr. Martin Luther King Junior Early College,https://www.schooldigger.com/go/CO/schools/0336001406/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,19535 East 46th Avenue,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80249,Denver County,(720) 424-0420,6,12,Yes,No,No,No,1027,64.7,15.8,79.00%,20.90%,0.40%,7.40%,58.90%,4.20%,3.70%,4.40%,6.3
319,Gateway High School,https://www.schooldigger.com/go/CO/schools/0234000063/school.aspx,Aurora Joint District No. 28,https://www.schooldigger.com/go/CO/district/02340/search.aspx,1300 South Sable Blvd,Aurora,https://www.schooldigger.com/go/CO/city/Aurora/search.aspx,80012,Arapahoe County,(303) 755-7160,9,12,No,No,No,No,1748,83.3,20.9,83.10%,18.40%,1.00%,4.20%,63.60%,1.00%,3.80%,8.10%,6.2
320,Jefferson Junior/Senior High School,https://www.schooldigger.com/go/CO/schools/0480000739/school.aspx,Jefferson County School District No. R-1,https://www.schooldigger.com/go/CO/district/04800/search.aspx,2305 Pierce Street,Edgewater,https://www.schooldigger.com/go/CO/city/Edgewater/search.aspx,80214,Jefferson County,(303) 982-6056,7,12,Yes,No,No,No,601,44,13.6,78.70%,2.80%,0.80%,0.20%,86.00%,0.80%,2.70%,6.70%,5.4
321,West High School,https://www.schooldigger.com/go/CO/schools/0336006551/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,951 Elati St,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80204,Denver County,(720) 423-5300,9,12,Yes,No,No,No,519,42.3,12.2,90.90%,8.70%,0.40%,1.20%,85.50%,0.20%,0.80%,2.30%,5.4
322,Aurora Central Campus,https://www.schooldigger.com/go/CO/schools/0234000056/school.aspx,Aurora Joint District No. 28,https://www.schooldigger.com/go/CO/district/02340/search.aspx,11700 East 11th Ave,Aurora,https://www.schooldigger.com/go/CO/city/Aurora/search.aspx,80010,Arapahoe County,(303) 340-1600,PK,12,No,No,No,No,2468,138,17.8,89.30%,13.50%,1.00%,2.90%,69.80%,1.10%,4.20%,7.50%,5
323,The Bijou School,https://www.schooldigger.com/go/CO/schools/0306001888/school.aspx,Colorado Springs School District No. 11,https://www.schooldigger.com/go/CO/district/03060/search.aspx,2115 Afton Way,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80909,El Paso County,(719) 328-7900,9,12,No,No,No,No,134,8,16.7,76.90%,8.20%,0.00%,0.00%,37.30%,0.00%,5.20%,49.30%,5
324,Bruce Randolph School,https://www.schooldigger.com/go/CO/schools/0336001869/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,3955 Steele Street,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80205,Denver County,(720) 424-1080,6,12,Yes,No,No,No,663,45.4,14.5,88.50%,6.30%,0.30%,0.30%,87.90%,1.50%,2.10%,1.50%,4.8
325,Abraham Lincoln High School,https://www.schooldigger.com/go/CO/schools/0336000305/school.aspx,School District No. 1,https://www.schooldigger.com/go/CO/district/03360/search.aspx,2285 South Federal Boulevard,Denver,https://www.schooldigger.com/go/CO/city/Denver/search.aspx,80219,Denver County,(720) 423-5000,9,12,Yes,No,No,No,965,72.6,13.2,88.90%,5.70%,0.30%,2.60%,86.90%,0.50%,1.10%,2.80%,4.3
326,Hope Online Learning Academy County-Op,https://www.schooldigger.com/go/CO/schools/0345006391/school.aspx,Douglas County School District No. Re 1,https://www.schooldigger.com/go/CO/district/03450/search.aspx,9780 Pyramid Ct Ste 100,Englewood,https://www.schooldigger.com/go/CO/city/Englewood/search.aspx,80112,Douglas County,(720) 402-3000,6,12,Yes,Yes,No,Yes,1307,48.9,26.6,69.30%,1.10%,0.90%,0.50%,69.60%,0.20%,0.80%,26.90%,3.4
327,Hidden Lake Secondary,https://www.schooldigger.com/go/CO/schools/0723001877/school.aspx,Westminster Public Schools,https://www.schooldigger.com/go/CO/district/07230/search.aspx,7300 Lowell Boulevard,Westminster,https://www.schooldigger.com/go/CO/city/Westminster/search.aspx,80030,Adams County,(303) 428-2600,6,12,No,No,No,No,340,19,17.8,87.60%,0.60%,1.20%,0.90%,85.00%,0.60%,1.20%,10.60%,3.1
328,Nikola Tesla Education Opportunity Center,https://www.schooldigger.com/go/CO/schools/0306000232/school.aspx,Colorado Springs School District No. 11,https://www.schooldigger.com/go/CO/district/03060/search.aspx,3302 Alpine Place,Colorado Springs,https://www.schooldigger.com/go/CO/city/Colorado+Springs/search.aspx,80909,El Paso County,(719) 328-3100,6,12,Yes,No,No,No,291,18.2,15.9,79.00%,8.20%,1.00%,0.70%,44.70%,1.70%,13.10%,30.60%,0.7
